Year,Site,Transect_ID,Cover_Class,5,10,15,20,25,30,35,40,45,50,NPS_Severity
2023,WR22,WR22_B_T1,New_Green,12.5,22.5,12.5,12.5,2.5,12.5,17.5,7.5,2.5,2.5,
2023,WR22,WR22_B_T1,Bare_Ground,22.5,22.5,0,0,0,0,0,7.5,17.5,12.5,
2023,WR22,WR22_B_T2,Black,37.5,42.5,82.5,47.5,32.5,67.5,52.5,82.5,47.5,77.5,
2023,WR22,WR22_B_T2,Dried_Unburned,52.5,42.5,2.5,32.5,47.5,22.5,37.5,17.5,32.5,2.5,
2023,WR22,WR22_B_T2,New_Green,2.5,2.5,2.5,7.5,22.5,2.5,2.5,2.5,7.5,,
2023,WR22,WR22_B_T2,Bare_Ground,0,2.5,7.5,2.5,7.5,0,0,0,2.5,17.5,
2023,WR22,WR22_B_T3,Black,52.5,57.5,67.5,67.5,82.5,87.5,87.5,42.5,77.5,57.5,
2023,WR22,WR22_B_T3,Dried_Unburned,32.5,22.5,27.5,22.5,7.5,7.5,,42.5,2.5,2.5,
2023,WR22,WR22_B_T3,New_Green,2.5,2.5,2.5,2.5,2.5,0,2.5,2.5,2.5,7.5,
2023,WR22,WR22_B_T3,Bare_Ground,2.5,2.5,0,0,0,2.5,7.5,2.5,17.5,2.5,
2023,WR22,WR22_B_T4,Black,57.5,72.5,72.5,77.5,67.5,72.5,52.5,62.5,57.5,37.5,
2023,WR22,WR22_B_T4,Dried_Unburned,27.5,17.5,7.5,7.5,22.5,17.5,22.5,27.5,37.5,47.5,
2023,WR22,WR22_B_T4,Living_Green,0,0,0,0,0,2.5,0,0,0,0,
2023,WR22,WR22_B_T4,New_Green,7.5,2.5,7.5,2.5,2.5,2.5,2.5,2.5,2.5,7.5,
2023,WR22,WR22_B_T4,Bare_Ground,0,0,0,2.5,0,0,12.5,0,0,0,
2023,WR22,WR22_B_T5,Black,87.5,67.5,62.5,32.5,47.5,57.5,47.5,77.5,62.5,47.5,
2023,WR22,WR22_B_T5,Dried_Unburned,12.5,22.5,27.5,52.5,32.5,22.5,37.5,22.5,27.5,42.5,
2023,WR22,WR22_B_T5,New_Green,2.5,2.5,2.5,2.5,7.5,12.5,7.5,7.5,2.5,2.5,
2023,WR22,WR22_B_T5,Bare_Ground,0,7.5,0,2.5,2.5,0,0,0,0,0,
2023,CF,CF_B_T1,Black,92.5,57.5,57.5,22.5,72.5,57.5,67.5,27.5,57.5,32.5,
2023,CF,CF_B_T1,Dried_Unburned,7.5,17.5,7.5,37.5,12.5,12.5,17.5,7.5,22.5,27.5,
2023,CF,CF_B_T1,New_Green,2.5,2.5,2.5,2.5,2.5,0,0,0,2.5,2.5,
2023,CF,CF_B_T1,Bare_Ground,2.5,12.5,37.5,27.5,22.5,32.5,12.5,62.5,22.5,27.5,
2023,CF,CF_B_T2,Black,52.5,82.5,32.5,22.5,37.5,22.5,62.5,32.5,32.5,22.5,
2023,CF,CF_B_T2,Dried_Unburned,27.5,0,17.5,27.5,22.5,12.5,37.5,32.5,2.5,32.5,
2023,CF,CF_B_T2,New_Green,2.5,2.5,2.5,2.5,2.5,0,0,2.5,2.5,0,
2023,CF,CF_B_T2,Bare_Ground,27.5,27.5,37.5,37.5,32.5,57.5,37.5,32.5,67.5,37.5,
2023,CF,CF_B_T3,Black,37.5,37.5,32.5,7.5,12.5,17.5,22.5,22.5,7.5,17.5,
2023,CF,CF_B_T3,Dried_Unburned,7.5,27.5,12.5,27.5,27.5,27.5,22.5,32.5,22.5,17.5,
2023,CF,CF_B_T3,New_Green,0,0,0,0,2.5,2.5,0,0,2.5,0,
2023,CF,CF_B_T3,Bare_Ground,47.5,37.5,52.5,62.5,47.5,42.5,47.5,37.5,62.5,72.5,
2023,CF,CF_B_T4,Black,42.5,37.5,42.5,27.5,27.5,32.5,32.5,42.5,37.5,27.5,
2023,CF,CF_B_T4,Dried_Unburned,17.5,22.5,7.5,17.5,7.5,7.5,2.5,12.5,12.5,17.5,
2023,CF,CF_B_T4,New_Green,0,2.5,0,0,0,0,0,0,0,0,
2023,CF,CF_B_T4,Bare_Ground,32.5,37.5,42.5,47.5,72.5,72.5,37.5,37.5,47.5,47.5,
2023,CF,CF_B_T5,Black,32.5,22.5,37.5,27.5,17.5,47.5,32.5,37.5,42.5,47.5,
2023,CF,CF_B_T5,Dried_Unburned,17.5,7.5,7.5,22.5,22.5,7.5,22.5,2.5,2.5,7.5,
2023,CF,CF_B_T5,New_Green,0,0,0,0,0,0,0,2.5,0,0,
2023,CF,CF_B_T5,Bare_Ground,62.5,62.5,47.5,42.5,52.5,52.5,57.5,62.5,47.5,37.5,
